location,date,n.weather,d.weather,growth_stage,plot_id,rep.block,treatment,row,sample,n.absent,n.partial,n.predated,d.absent,d.partial,d.predated,to.predated
PA,6/16/2021,15.28,18.44,V3,403,4,2,11,89,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,403,4,2,11,90,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,404,4,4,6,91,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,404,4,4,6,92,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,404,4,4,6,93,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,404,4,4,11,94,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,404,4,4,11,95,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,404,4,4,11,96,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,501,5,2,6,97,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,501,5,2,6,98,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,501,5,2,6,99,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,501,5,2,11,100,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,501,5,2,11,101,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,501,5,2,11,102,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,6,103,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,6,104,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,6,105,0,0,0,1,1,1,1
PA,6/16/2021,15.28,18.44,V3,502,5,3,11,106,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,11,107,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,502,5,3,11,108,1,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,503,5,1,6,109,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,503,5,1,6,110,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,503,5,1,6,111,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,503,5,1,11,112,0,0,0,0,0,0,0
PA,6/16/2021,15.28,18.44,V3,503,5,1,11,113,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,503,5,1,11,114,0,1,1,0,1,na,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,6,115,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,6,116,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,6,117,0,0,0,0,1,1,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,11,118,1,1,1,1,1,na,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,11,119,0,1,1,0,0,na,1
PA,6/16/2021,15.28,18.44,V3,504,5,4,11,120,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,101,1,1,6,121,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,101,1,1,6,122,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,101,1,1,6,123,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,101,1,1,11,124,1,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,101,1,1,11,125,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,101,1,1,11,126,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,102,1,3,6,127,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,102,1,3,6,128,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,102,1,3,6,129,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,102,1,3,11,130,1,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,102,1,3,11,131,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,102,1,3,11,132,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,103,1,2,6,133,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,103,1,2,6,134,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,103,1,2,6,135,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,103,1,2,11,136,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,103,1,2,11,137,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,103,1,2,11,138,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,6,139,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,6,140,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,6,141,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,11,142,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,11,143,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,104,1,4,11,144,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,6,145,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,6,146,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,6,147,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,11,148,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,201,2,3,11,149,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,201,2,3,11,150,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,6,151,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,6,152,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,6,153,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,11,154,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,11,155,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,202,2,4,11,156,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,203,2,1,6,157,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,203,2,1,6,158,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,203,2,1,6,159,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,203,2,1,11,160,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,203,2,1,11,161,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,203,2,1,11,162,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,204,2,2,6,163,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,204,2,2,6,164,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,204,2,2,6,165,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,204,2,2,11,166,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,204,2,2,11,167,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,204,2,2,11,168,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,6,169,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,6,170,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,6,171,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,11,172,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,11,173,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,301,3,4,11,174,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,302,3,2,6,175,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,302,3,2,6,176,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,302,3,2,6,177,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,302,3,2,11,178,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,302,3,2,11,179,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,302,3,2,11,180,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,6,181,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,6,182,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,6,183,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,11,184,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,303,3,3,11,185,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,303,3,3,11,186,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,304,3,1,6,187,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,304,3,1,6,188,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,304,3,1,6,189,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,304,3,1,11,190,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,304,3,1,11,191,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,304,3,1,11,192,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,401,4,1,6,193,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,401,4,1,6,194,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,401,4,1,6,195,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,401,4,1,11,196,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,401,4,1,11,197,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,401,4,1,11,198,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,6,199,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,6,200,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,6,201,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,11,202,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,11,203,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,402,4,3,11,204,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,6,205,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,6,206,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,6,207,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,11,208,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,11,209,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,403,4,2,11,210,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,6,211,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,6,212,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,6,213,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,11,214,0,0,0,1,1,1,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,11,215,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,404,4,4,11,216,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,501,5,2,6,217,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,501,5,2,6,218,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,501,5,2,6,219,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,501,5,2,11,220,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,501,5,2,11,221,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,501,5,2,11,222,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,6,223,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,6,224,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,502,5,3,6,225,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,11,226,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,11,227,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,502,5,3,11,228,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,6,229,0,0,0,0,0,0,0
PA,6/24/2021,15.22,21.11,V5,503,5,1,6,230,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,6,231,0,1,1,0,1,na,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,11,232,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,11,233,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,503,5,1,11,234,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,6,235,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,6,236,0,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,6,237,0,0,0,0,1,1,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,11,238,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,11,239,1,1,1,1,1,na,1
PA,6/24/2021,15.22,21.11,V5,504,5,4,11,240,0,1,1,0,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,6,241,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,6,242,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,6,243,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,11,244,0,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,11,245,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,101,1,1,11,246,0,0,0,0,0,0,0
PA,8/24/2021,18.72,24,R3,102,1,3,6,247,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,6,248,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,6,249,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,11,250,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,11,251,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,102,1,3,11,252,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,6,253,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,6,254,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,6,255,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,11,256,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,11,257,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,103,1,2,11,258,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,6,259,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,6,260,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,6,261,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,11,262,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,11,263,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,104,1,4,11,264,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,6,265,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,6,266,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,6,267,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,11,268,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,11,269,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,201,2,3,11,270,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,6,271,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,6,272,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,6,273,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,11,274,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,11,275,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,202,2,4,11,276,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,6,277,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,6,278,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,6,279,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,11,280,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,11,281,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,203,2,1,11,282,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,6,283,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,6,284,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,6,285,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,11,286,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,11,287,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,204,2,2,11,288,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,6,289,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,6,290,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,6,291,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,11,292,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,11,293,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,301,3,4,11,294,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,6,295,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,6,296,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,6,297,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,11,298,0,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,11,299,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,302,3,2,11,300,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,6,301,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,6,302,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,6,303,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,11,304,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,11,305,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,303,3,3,11,306,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,304,3,1,6,307,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,304,3,1,6,308,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,304,3,1,6,309,1,1,1,1,1,na,1
PA,8/24/2021,18.72,24,R3,304,3,1,11,310,1,1,1,1,1,na,1
