location,date,am.weather,pm.weather,growth_stage,plotid,block,treatmetn,row,sample,am.absent,am.partial,am.predators,pm.absent,pm.partial,pm.predators
VT,6/9/2023,10.56,15.56,V3,403,4,3,11,6,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,404,4,4,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,404,4,4,6,2,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,404,4,4,6,3,0,0,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,404,4,4,11,4,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,404,4,4,11,5,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,404,4,4,11,6,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,501,5,4,6,1,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,501,5,4,6,2,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,501,5,4,6,3,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,501,5,4,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,501,5,4,11,5,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,501,5,4,11,6,0,0,na,0,0,na
VT,6/9/2023,10.56,15.56,V3,502,5,3,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,502,5,3,6,2,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,502,5,3,6,3,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,502,5,3,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,502,5,3,11,5,0,1,unk,1,na,na
VT,6/9/2023,10.56,15.56,V3,502,5,3,11,6,0,1,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,503,5,2,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,503,5,2,6,2,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,503,5,2,6,3,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,503,5,2,11,4,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,503,5,2,11,5,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,503,5,2,11,6,0,1,na,0,1,na
VT,6/9/2023,10.56,15.56,V3,504,5,1,6,1,1,na,na,na,na,na
VT,6/9/2023,10.56,15.56,V3,504,5,1,6,2,0,1,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,504,5,1,6,3,0,0,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,504,5,1,11,4,0,1,na,1,na,na
VT,6/9/2023,10.56,15.56,V3,504,5,1,11,5,0,0,ants,1,na,na
VT,6/9/2023,10.56,15.56,V3,504,5,1,11,6,0,0,na,0,0,na
VT,6/22/2023,16.67,26.67,V5,101,1,4,6,1,0,0,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,101,1,4,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,101,1,4,6,3,0,0,na,0,0,na
VT,6/22/2023,16.67,26.67,V5,101,1,4,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,101,1,4,11,5,0,0,na,0,0,na
VT,6/22/2023,16.67,26.67,V5,101,1,4,11,6,0,1,na,1,na,na
VT,6/22/2023,16.67,26.67,V5,102,1,1,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,102,1,1,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,102,1,1,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,102,1,1,11,4,0,1,ants,1,na,na
VT,6/22/2023,16.67,26.67,V5,102,1,1,11,5,0,1,ants,0,1,ants
VT,6/22/2023,16.67,26.67,V5,102,1,1,11,6,0,0,ground beetle,1,na,na
VT,6/22/2023,16.67,26.67,V5,103,1,3,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,103,1,3,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,103,1,3,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,103,1,3,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,103,1,3,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,103,1,3,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,104,1,2,6,1,0,0,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,104,1,2,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,104,1,2,6,3,0,0,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,104,1,2,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,104,1,2,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,104,1,2,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,201,2,3,6,1,0,1,na,1,na,na
VT,6/22/2023,16.67,26.67,V5,201,2,3,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,201,2,3,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,201,2,3,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,201,2,3,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,201,2,3,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,202,2,4,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,202,2,4,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,202,2,4,6,3,0,1,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,202,2,4,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,202,2,4,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,202,2,4,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,203,2,2,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,203,2,2,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,203,2,2,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,203,2,2,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,203,2,2,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,203,2,2,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,204,2,1,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,204,2,1,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,204,2,1,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,204,2,1,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,204,2,1,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,204,2,1,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,301,3,1,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,301,3,1,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,301,3,1,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,301,3,1,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,301,3,1,11,5,0,0,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,301,3,1,11,6,0,0,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,302,3,2,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,302,3,2,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,302,3,2,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,302,3,2,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,302,3,2,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,302,3,2,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,303,3,4,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,303,3,4,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,303,3,4,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,303,3,4,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,303,3,4,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,303,3,4,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,304,3,3,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,304,3,3,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,304,3,3,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,304,3,3,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,304,3,3,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,304,3,3,11,6,0,1,na,1,na,na
VT,6/22/2023,16.67,26.67,V5,401,4,2,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,401,4,2,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,401,4,2,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,401,4,2,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,401,4,2,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,401,4,2,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,402,4,1,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,402,4,1,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,402,4,1,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,402,4,1,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,402,4,1,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,402,4,1,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,403,4,3,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,403,4,3,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,403,4,3,6,3,0,0,na,1,na,na
VT,6/22/2023,16.67,26.67,V5,403,4,3,11,4,0,1,na,1,na,na
VT,6/22/2023,16.67,26.67,V5,403,4,3,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,403,4,3,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,404,4,4,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,404,4,4,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,404,4,4,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,404,4,4,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,404,4,4,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,404,4,4,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,501,5,4,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,501,5,4,6,2,0,0,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,501,5,4,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,501,5,4,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,501,5,4,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,501,5,4,11,6,0,0,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,502,5,3,6,1,0,1,ground beetle,1,na,na
VT,6/22/2023,16.67,26.67,V5,502,5,3,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,502,5,3,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,502,5,3,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,502,5,3,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,502,5,3,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,503,5,2,6,1,0,1,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,503,5,2,6,2,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,503,5,2,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,503,5,2,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,503,5,2,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,503,5,2,11,6,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,504,5,1,6,1,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,504,5,1,6,2,0,1,na,0,1,na
VT,6/22/2023,16.67,26.67,V5,504,5,1,6,3,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,504,5,1,11,4,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,504,5,1,11,5,1,na,na,na,na,na
VT,6/22/2023,16.67,26.67,V5,504,5,1,11,6,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,101,1,4,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,101,1,4,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,101,1,4,6,3,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,101,1,4,11,4,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,101,1,4,11,5,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,101,1,4,11,6,0,1,2 slugs,0,1,na
VT,8/31/2023,11.67,19.44,R3,102,1,1,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,102,1,1,6,2,1,na,1 slug,na,na,na
VT,8/31/2023,11.67,19.44,R3,102,1,1,6,3,0,1,2 slugs,1,na,na
VT,8/31/2023,11.67,19.44,R3,102,1,1,11,4,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,102,1,1,11,5,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,102,1,1,11,6,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,103,1,3,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,103,1,3,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,103,1,3,6,3,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,103,1,3,11,4,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,103,1,3,11,5,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,103,1,3,11,6,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,104,1,2,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,104,1,2,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,104,1,2,6,3,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,104,1,2,11,4,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,104,1,2,11,5,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,104,1,2,11,6,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,201,2,3,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,201,2,3,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,201,2,3,6,3,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,201,2,3,11,4,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,201,2,3,11,5,0,1,2 slugs,1,na,na
VT,8/31/2023,11.67,19.44,R3,201,2,3,11,6,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,202,2,4,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,202,2,4,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,202,2,4,6,3,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,202,2,4,11,4,0,1,1 slug,1,na,na
VT,8/31/2023,11.67,19.44,R3,202,2,4,11,5,1,na,1 slug,na,na,na
VT,8/31/2023,11.67,19.44,R3,202,2,4,11,6,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,203,2,2,6,1,0,1,1 slug,1,na,1 slug
VT,8/31/2023,11.67,19.44,R3,203,2,2,6,2,0,1,1 slug,1,na,na
VT,8/31/2023,11.67,19.44,R3,203,2,2,6,3,0,1,1 slug,0,1,na
VT,8/31/2023,11.67,19.44,R3,203,2,2,11,4,0,1,2 slugs,1,na,na
VT,8/31/2023,11.67,19.44,R3,203,2,2,11,5,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,203,2,2,11,6,0,1,na,1,na,na
VT,8/31/2023,11.67,19.44,R3,204,2,1,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,204,2,1,6,2,0,1,2 slugs,0,1,na
VT,8/31/2023,11.67,19.44,R3,204,2,1,6,3,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,204,2,1,11,4,0,0,na,0,0,na
VT,8/31/2023,11.67,19.44,R3,204,2,1,11,5,0,1,na,0,1,na
VT,8/31/2023,11.67,19.44,R3,204,2,1,11,6,0,0,na,0,1,1 slug
VT,8/31/2023,11.67,19.44,R3,301,3,1,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,301,3,1,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,301,3,1,6,3,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,301,3,1,11,4,0,1,2 slugs,1,na,na
VT,8/31/2023,11.67,19.44,R3,301,3,1,11,5,0,0,na,1,na,na
VT,8/31/2023,11.67,19.44,R3,301,3,1,11,6,0,1,2 slugs,1,na,na
VT,8/31/2023,11.67,19.44,R3,302,3,2,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,302,3,2,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,302,3,2,6,3,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,302,3,2,11,4,0,0,na,0,0,na
VT,8/31/2023,11.67,19.44,R3,302,3,2,11,5,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,302,3,2,11,6,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,303,3,4,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,303,3,4,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,303,3,4,6,3,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,303,3,4,11,4,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,303,3,4,11,5,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,303,3,4,11,6,0,1,2 slugs,1,na,na
VT,8/31/2023,11.67,19.44,R3,304,3,3,6,1,0,1,1 slug,0,1,na
VT,8/31/2023,11.67,19.44,R3,304,3,3,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,304,3,3,6,3,0,1,1 big slug,1,na,na
VT,8/31/2023,11.67,19.44,R3,304,3,3,11,4,0,1,1 slug,1,na,na
VT,8/31/2023,11.67,19.44,R3,304,3,3,11,5,0,1,na,1,na,na
VT,8/31/2023,11.67,19.44,R3,304,3,3,11,6,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,401,4,2,6,1,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,401,4,2,6,2,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,401,4,2,6,3,0,1,na,1,0,na
VT,8/31/2023,11.67,19.44,R3,401,4,2,11,4,0,0,1 slug,1,na,na
VT,8/31/2023,11.67,19.44,R3,401,4,2,11,5,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,401,4,2,11,6,1,na,na,na,na,na
VT,8/31/2023,11.67,19.44,R3,402,4,1,6,1,0,1,na,1,na,na
VT,8/31/2023,11.67,19.44,R3,402,4,1,6,2,1,na,na,na,na,na
